premiered,runtime
2008-07-15,15
1999-09-24,30
2000-05-12,30
1997-08-13,30
2011-12-15,30
2016-01-30,70
2013-01-14,60
2001-07-09,30
2011-01-09,60
1989-01-13,30
2000-09-29,25
2005-05-19,30
2016-09-20,60
1990-01-01,30
1999-01-11,30
2009-04-09,30
1971-01-12,30
2011-02-09,90
2014-02-13,90
2012-06-28,90
2014-08-22,25
2004-01-29,25
1981-09-08,50
1960-10-11,30
1982-03-04,30
2005-10-17,30
1996-07-22,30
1997-11-03,30
1997-01-29,30
2010-04-05,15
2001-04-22,30
2009-09-17,21
2009-09-17,30
2003-11-02,30
1995-04-21,30
1977-04-25,30
2010-06-29,30
2005-08-04,30
1988-02-15,40
2003-09-19,30
2015-10-04,25
1994-09-22,30
1992-08-15,
2005-03-24,30
1989-07-05,30
2001-10-02,30
1998-08-05,30
1999-03-28,30
2006-02-03,30
2000-10-15,30
2004-07-18,30
1975-09-19,30
2004-10-03,60
2006-04-08,20
2016-09-06,30
1972-09-17,30
2010-11-26,30
1990-04-22,60
1969-10-05,30
2003-09-11,30
1999-09-25,60
2009-09-23,30
1989-12-17,30
2008-05-01,30
2007-06-17,30
