Genre,cast_count,channel_type
History,13.0,Web
Action,12.0,Web
Crime,11.0,Web
Science-Fiction,6.75,Web
Comedy,8.857142857142858,Web
Music,5.5,Web
Drama,11.777777777777779,Web
Mystery,11.0,Web
Thriller,8.333333333333334,Web
War,12.125,TV
Romance,13.75,TV
History,13.428571428571429,TV
Action,14.975,TV
Children,11.0,TV
Horror,11.11111111111111,TV
Fantasy,17.444444444444443,TV
Supernatural,13.4,TV
Adventure,14.533333333333333,TV
Nature,2.0,TV
Crime,13.257142857142858,TV
Science-Fiction,12.571428571428571,TV
Legal,6.0,TV
Medical,14.666666666666666,TV
Espionage,12.0,TV
Comedy,9.275862068965518,TV
Music,8.0,TV
Anime,13.05,TV
Travel,2.0,TV
Drama,13.841463414634147,TV
Western,12.333333333333334,TV
Adult,7.0,TV
Mystery,10.642857142857142,TV
Thriller,14.764705882352942,TV
Sports,15.0,TV
Family,18.0,TV
